Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_SMA(200),Exit_SMA(200)
393,200,398,24.417499542236328,29.610000610351562,,,2023.6666737213134,16.986246047973633,0.21088478200178382,2014-10-17,2015-08-03,290 days,,21.870955410003663,30.215199956893922
379,463,465,30.642499923706055,30.229999542236328,,,-174.7941864151001,18.456541838073733,-0.01505093847404017,2015-11-03,2015-11-05,2 days,,30.460374937057495,30.48658742904663
408,573,575,28.010000228881836,27.462499618530273,,,-241.48647297363283,18.106223950195314,-0.021130974844448213,2016-04-13,2016-04-15,2 days,,27.67759997367859,27.6425874710083
428,647,1030,26.084999084472656,39.122501373291016,,,5557.72393145752,22.327048156738282,0.49780857750467755,2016-07-28,2018-02-05,557 days,,25.920837469100952,39.88466243743896
411,1031,1032,40.75749969482422,39.8849983215332,,,-385.1133177703857,26.51525334777832,-0.022990011132186627,2018-02-06,2018-02-07,1 days,,39.91061243057251,39.930487422943116
402,1035,1083,40.6775016784668,41.310001373291016,,,227.89769633789064,26.367180981445316,0.013936689053912996,2018-02-12,2018-04-23,70 days,,39.983324947357175,41.40933759689331
393,1089,1226,42.275001525878906,48.057498931884766,,,2244.1209424163817,28.400538143920897,0.13507347603864894,2018-05-01,2018-11-13,196 days,,41.547050113677976,48.341362628936764
386,1312,1314,48.772499084472656,47.185001373291016,,,-642.4057926574707,29.631676141357424,-0.034122994367489626,2019-03-21,2019-03-25,4 days,,47.66763757705689,47.65826259613037
381,1319,1348,47.810001373291016,46.43000030517578,,,-554.5047594635009,28.72435251159668,-0.030441184431152575,2019-04-01,2019-05-13,42 days,,47.64051259994507,48.122275066375735
367,1367,1560,48.14500045776367,60.5525016784668,,,4521.63936137085,31.913586627197265,0.25590493513033874,2019-06-10,2020-03-16,280 days,,47.58452505111694,61.77471240997315
351,1561,1562,63.21500015258789,61.66749954223633,,,-578.239720147705,35.06700591430664,-0.026060375008003255,2020-03-17,2020-03-18,1 days,,61.87194990158081,61.96366239547729
335,1568,1569,64.61000061035156,61.935001373291016,,,-930.0388049468994,33.914060531616215,-0.042969125714613685,2020-03-26,2020-03-27,1 days,,62.36902492523193,62.43596242904663
325,1570,1572,63.70249938964844,60.227500915527344,,,-1161.5963041687012,32.221800079345705,-0.05610678558314194,2020-03-30,2020-04-01,2 days,,62.51178743362427,62.64749992370606
298,1575,1852,65.61750030517578,122.7699966430664,,,16986.532329418944,44.91157927246094,0.8686979247186567,2020-04-06,2021-05-12,401 days,,62.838787422180175,122.95773746490478
292,1853,1867,124.97000122070312,123.54000091552734,,,-475.61202561035157,58.05193649902344,-0.013033594390450692,2021-05-13,2021-06-03,21 days,,123.11632495880127,124.26038734436035
287,1868,2063,125.88999938964844,150.6199951171875,,,7034.022079064941,63.486694738769536,0.19468415164635292,2021-06-04,2022-03-14,283 days,,124.3120248413086,153.73530010223388
278,2064,2093,155.08999633789062,156.8000030517578,,,406.01753059082034,69.36433586425781,0.009417078785491284,2022-03-15,2022-04-26,42 days,,153.88770008087158,159.12335006713866
266,2095,2096,163.63999938964844,157.64999389648438,,,-1661.7119717529297,68.37051057128906,-0.038175492001304295,2022-04-28,2022-04-29,1 days,,159.25045013427734,159.29630012512206
262,2098,2100,159.47999572753906,156.77000427246094,,,-776.3037612304688,66.286,-0.018579079097419807,2022-05-03,2022-05-05,2 days,,159.43930015563964,159.59550025939942
253,2158,2180,162.50999450683594,158.91000366210938,,,-975.8530913452148,65.05540762939454,-0.023734705394377897,2022-07-29,2022-08-30,32 days,,158.9387004852295,160.9885004425049
245,2188,2189,163.42999267578125,153.83999633789062,,,-2411.7340206298827,62.184917846679696,-0.060232593589048845,2022-09-12,2022-09-13,1 days,,161.04555038452148,161.0050503540039
250,2287,2302,150.82000732421875,146.7100067138672,,,-1087.006155395508,59.50600280761719,-0.028829229614311464,2023-02-02,2023-02-24,22 days,,147.8662497329712,147.20059970855712
248,2303,2305,147.9199981689453,145.30999755859375,,,-705.4569825195313,58.17683115234375,-0.01923056139903864,2023-02-27,2023-03-01,2 days,,147.16764972686767,147.18594974517822
238,2307,2471,151.02999877929688,166.88999938964844,,,3714.1481776123046,60.53196765136719,0.10332824430874345,2023-03-03,2023-10-26,237 days,,147.20739978790283,170.35690040588378
228,2475,2548,173.97000122070312,182.30999755859375,,,1836.5336932617188,64.98547177734375,0.04630092706988273,2023-11-01,2024-02-16,107 days,,171.0851503753662,183.48035034179688
225,2551,2552,184.3699951171875,182.52000427246094,,,-482.28813995361327,66.04019989013672,-0.011626093730033708,2024-02-22,2024-02-23,1 days,,183.68755035400392,183.7326503753662
224,2601,2813,183.3800048828125,220.83999633789062,,,8318.60186171875,72.43622421875,0.20251180316978074,2024-05-03,2025-03-11,312 days,,181.18715019226073,227.41074981689454
215,2917,3077,229.35000610351562,246.6300048828125,,,3633.3311756591797,81.86856188964845,0.07368307966331797,2025-08-08,2026-03-30,234 days,,221.10380004882813,248.29204940795898
209,3078,3123,253.7899932861328,311.2300109863281,,,11910.492354626465,94.47134471435547,0.22454786715143182,2026-03-31,2026-06-04,65 days,,248.56499938964845,264.8091993713379
