Date,Equity
2017-01-03,10000.0
2017-01-04,9981.497234625243
2017-01-05,10030.467563909911
2017-01-06,10138.367817205808
2017-01-09,10228.007335943603
2017-01-10,10237.967563909911
2017-01-11,10291.087513250732
2017-01-12,10249.587513250732
2017-01-13,10232.157589239501
2017-01-17,10311.837513250732
2017-01-18,10311.007335943603
2017-01-19,10293.577411932372
2017-01-20,10311.837513250732
2017-01-23,10318.477665228273
2017-01-24,10309.347614569091
2017-01-25,10467.877285284423
2017-01-26,10472.857715887452
2017-01-27,10473.687259954833
2017-01-30,10447.127285284423
2017-01-31,10423.88738660278
2017-02-01,11038.087513250732
2017-02-02,11019.827411932372
2017-02-03,11065.47766522827
2017-02-06,11165.906955999755
2017-02-07,11268.827411932372
2017-02-08,11311.156955999755
2017-02-09,11342.697361273193
2017-02-10,11317.797107977294
2017-02-13,11414.906955999755
2017-02-14,11558.49786786499
2017-02-15,11599.167057318115
2017-02-16,11585.88801984253
2017-02-17,11616.597614569091
2017-02-21,11697.937259954833
2017-02-22,11731.967563909911
2017-02-23,11683.827411932372
2017-02-24,11694.61781720581
2017-02-27,11717.026905340575
2017-02-28,11722.007969183347
2017-03-01,11954.406955999755
2017-03-02,11885.518070501708
2017-03-03,11953.577411932372
2017-03-06,11917.057209295654
2017-03-07,11931.99786786499
2017-03-08,11888.837513250732
2017-03-09,11862.276905340575
2017-03-10,11900.457462591552
2017-03-13,11905.437259954833
2017-03-14,11888.007969183349
2017-03-15,12010.018070501708
2017-03-16,12029.10771588745
2017-03-17,11971.007969183349
2017-03-20,12093.018070501708
2017-03-21,11958.557209295654
2017-03-22,12089.697361273193
2017-03-23,12048.197361273193
2017-03-24,12024.957462591552
2017-03-27,12044.87791852417
2017-03-28,12287.23776654663
2017-03-29,12313.797107977294
2017-03-30,12298.026905340575
2017-03-31,12275.61781720581
2017-04-03,12278.937259954833
2017-04-04,12367.74786786499
2017-04-05,12305.49786786499
2017-04-06,12275.61781720581
2017-04-07,12249.057209295654
2017-04-10,12234.947361273193
2017-04-11,12107.12791852417
2017-04-12,12121.23776654663
2017-04-13,12058.98776654663
2017-04-17,12123.72766522827
2017-04-18,12071.437259954833
2017-04-19,12028.276905340575
2017-04-20,12174.357715887449
2017-04-21,12160.247867864991
2017-04-24,12273.957462591552
2017-04-25,12347.827411932372
2017-04-26,12277.276905340575
2017-04-27,12286.406955999755
2017-04-28,12274.787006658933
2017-05-01,12517.97766522827
2017-05-02,12595.167057318115
2017-05-03,12557.817310614013
2017-05-04,12513.827411932372
2017-05-05,12715.518070501708
2017-05-08,13051.667057318115
2017-05-09,13133.007969183347
2017-05-10,13072.417057318115
2017-05-11,13129.687259954835
2017-05-12,13308.138019842529
2017-05-15,13274.937259954833
2017-05-16,13255.847614569091
2017-05-17,12822.587513250732
2017-05-18,13012.656955999755
2017-05-19,13055.817310614013
2017-05-22,13133.007969183347
2017-05-23,13117.23776654663
2017-05-24,13079.057209295652
2017-05-25,13123.047107977294
2017-05-26,13101.467563909911
2017-05-30,13106.447361273193
2017-05-31,13030.917057318115
2017-06-01,13065.776905340575
2017-06-02,13254.187259954833
2017-06-05,13128.026905340575
2017-06-06,13171.187259954833
2017-06-07,13247.547107977292
2017-06-08,13216.00796918335
2017-06-09,12717.177158636474
2017-06-12,12421.697361273193
2017-06-13,12518.807209295652
2017-06-14,12400.11781720581
2017-06-15,12327.906955999755
2017-06-16,12160.247867864991
2017-06-19,12498.057209295654
2017-06-20,12387.667057318115
2017-06-21,12459.047107977294
2017-06-22,12439.12791852417
2017-06-23,12493.077411932372
2017-06-26,12454.89812116089
2017-06-27,12281.427158636474
2017-06-28,12455.72766522827
2017-06-29,12277.276905340575
2017-06-30,12305.49786786499
2017-07-03,12262.337513250732
2017-07-05,12311.307209295654
2017-07-06,12198.427158636474
2017-07-07,12318.776905340575
2017-07-10,12391.817310614013
2017-07-11,12430.827411932372
2017-07-12,12448.257969183349
2017-07-13,12616.74786786499
2017-07-14,12722.156955999755
2017-07-17,12765.317310614013
2017-07-18,12808.47766522827
2017-07-19,12886.49786786499
2017-07-20,12830.057209295654
2017-07-21,12824.247867864988
2017-07-24,12975.307209295655
2017-07-25,13029.25796918335
2017-07-26,13089.018070501708
2017-07-27,12848.317310614013
2017-07-28,12760.337513250732
2017-07-31,12696.427158636474
2017-08-01,12805.98776654663
2017-08-02,13394.457462591552
2017-08-03,13264.148121160888
2017-08-04,13332.207462591552
2017-08-07,13533.067310614013
2017-08-08,13638.47766522827
2017-08-09,13719.817310614013
2017-08-10,13243.398121160888
2017-08-11,13422.677158636474
2017-08-14,13619.388019842529
2017-08-15,13764.638019842529
2017-08-16,13710.687259954833
2017-08-17,13454.217563909911
2017-08-18,13424.337513250732
2017-08-21,13400.268070501708
2017-08-22,13613.577411932372
2017-08-23,13630.177158636474
2017-08-24,13571.247867864991
2017-08-25,13620.217563909911
2017-08-28,13753.847614569091
2017-08-29,13873.36781720581
2017-08-30,13909.888019842529
2017-08-31,13963.837513250732
2017-09-01,13967.98776654663
2017-09-05,13804.477665228269
2017-09-06,13790.367817205812
2017-09-07,13736.417057318116
2017-09-08,13518.12791852417
2017-09-11,13756.337513250732
2017-09-12,13703.217563909911
2017-09-13,13602.787006658935
2017-09-14,13489.077411932372
2017-09-15,13621.87791852417
2017-09-18,13521.447361273193
2017-09-19,13526.427158636474
2017-09-20,13305.64812116089
2017-09-21,13083.207462591552
2017-09-22,12958.707462591552
2017-09-25,12847.48776654663
2017-09-26,13062.457462591552
2017-09-27,13152.927158636474
2017-09-28,13074.077411932372
2017-09-29,13143.797107977296
2017-10-02,13118.067310614013
2017-10-03,13173.677158636474
2017-10-04,13090.677158636474
2017-10-05,13249.207462591552
2017-10-06,13241.73776654663
2017-10-09,13286.557209295654
2017-10-10,13291.537006658935
2017-10-11,13345.48776654663
2017-10-12,13299.837513250732
2017-10-13,13382.007969183349
2017-10-16,13621.87791852417
2017-10-17,13670.847614569091
2017-10-18,13611.917057318115
2017-10-19,13298.177158636476
2017-10-20,13320.587513250732
2017-10-23,13313.947361273193
2017-10-24,13391.138019842529
2017-10-25,13333.86781720581
2017-10-26,13416.867817205812
2017-10-27,13884.98776654663
2017-10-30,14189.597614569091
2017-10-31,14382.156955999753
2017-11-01,14203.707462591552
2017-11-02,14304.967563909911
2017-11-03,14669.337513250732
2017-11-06,14814.587513250732
2017-11-07,14861.067310614013
2017-11-08,14979.757969183349
2017-11-09,14949.877918524167
2017-11-10,14849.447361273194
2017-11-13,14791.347614569091
2017-11-14,14573.057209295655
2017-11-15,14385.47766522827
2017-11-16,14553.138019842529
2017-11-17,14474.287006658935
2017-11-20,14460.177158636474
2017-11-21,14722.457462591552
2017-11-22,14873.518070501708
2017-11-24,14874.34761456909
2017-11-27,14801.307209295654
2017-11-28,14716.64812116089
2017-11-29,14418.677158636474
2017-11-30,14615.388019842529
2017-12-01,14548.98776654663
2017-12-04,14445.23776654663
2017-12-05,14431.957462591552
2017-12-06,14379.667057318115
